,m/z,Name,Formula
609.180998503,610.18827,,C29H40NO5PS3
659.9386773557,660.94595,,C17H20N6O8S7
652.1477510901,653.15503,,C23H28N10O9S2
689.8335660611,690.84084,,C24H11N4O3PS8
696.899187176,697.90646,,C16H20N5O10PS7
652.7519715507,653.75925,,C12H4N3O13PS7
320.0024883173,321.00976,,C11H12O7S2
630.9143517966,631.92163,,C14H14N7O10PS5
657.8103376826,658.81761,,C17H10N2O10S8
664.9988716925,666.00615,,C20H7N15O9S2
592.4582078685,593.46548,,C34H56N8O
751.4985961773,752.50587,,C35H66N11O5P
615.6185543444,616.62583,,C24H73N17O
724.5500044843,725.55728,,C35H76N6O7S
707.7239966354,708.73127,,C20H4O11S9
602.7959377039,603.80321,,
580.308037941,581.31531,,C32H52O3S3
687.0684813015,688.07576,,C18H25N9O14S3
666.4626778588,667.46995,,C26H62N14O2S2
658.1599296286,659.16721,,C38H22N6O6
673.066682375,674.07396,,C25H7N17O8
656.7478402792,657.75512,,C15H7N5O3S11
694.3199408531,695.32722,,C30H47N8O9P
598.7276575279,599.73493,,
677.2586950122,678.26597,,C29H59NO2S7
704.5598293617,705.56711,,C28H72N12O8
682.2713640938,683.27864,,C32H58O3S6
596.4927884011,597.50006,,C31H64N8OS
621.2804600154,622.28774,,C21H54NO13P3
366.2083174866,367.21559,,
598.3527793932,599.36006,,C18H51N10O10P
622.6694654106,623.67674,,C36H86N4O3
655.457133981,656.46441,,C24H61N15O2S2
596.0927324392,597.10001,,C28H24N2O9S2
696.5640594939,697.57134,,C42H81O3PS
705.2574630187,706.26474,,C17H45N11O15P2
671.0161866916,672.02346,,
682.8734827089,683.88076,,C14H5N9O16S4
641.0855550181,642.09283,,C38H15N3O8
600.323035478,601.33031,PI_18:0_0:0_,C27H53O12P
424.1684343972,425.17571,,C18H33O7PS
632.0365472602,633.04382,,C27H12N12O2S3
670.4770610103,671.48434,,C21H62N14O10
702.2653217521,703.2726,,C30H43N10O4PS2
641.9426627746,642.94994,,C27H6N4O12S2
624.0080796868,625.01536,,C21H13N12O4PS3
586.3724362294,587.37971,,C32H58O5S2
760.2536774586,761.26095,,C35H53O10PS3
332.0032186304,333.0105,,C5H12N6O5S3
645.250805131,646.25808,,C16H48N5O17PS
630.9592640526,631.96654,,C16H12N9O11P3S
656.8121979984,657.81947,,C11H16NO13PS8
637.3413260189,638.3486,,
641.0821510709,642.08943,,C26H23N7O7S3
684.4166669352,685.42394,,C26H61N12O3PS2
778.131659477,779.13894,,C35H30N12S5
428.1812998436,429.18858,,C17H33O10P
635.7819989462,636.78928,,C15H5N6O5PS8
680.5266149283,681.53389,,C24H69N14O6P
679.8737750321,680.88105,,C24H13N2O8PS6
646.8624148998,647.86969,,C15H14N5O8PS7
213.9554270326,214.9627,,
773.9307842442,774.93806,,C21H27O17PS6
655.2364076976,656.24368,,C26H46N3O10PS2
594.3214780149,595.32875,,C26H51N4O7PS
648.6800338008,649.68731,,
662.7667596875,663.77404,,C13H14NO8PS10
579.7881393595,580.79542,,C15H5N2O7PS7
666.8919759696,667.89925,,C23H17N5OS9
543.8620516611,544.86933,,C20H4N2O7S5
731.01215614,732.01943,,C13H25N13O11S6
755.2094343905,756.21671,,C33H26N17O4P
680.3186546577,681.32593,,C25H57N6O7PS3
631.9422792766,632.94956,,C13H20N12S9
648.7761437798,649.78342,,C14H8N3O9PS8
667.9693678914,668.97664,,C15H9N16O8PS3
644.8501319467,645.85741,,
656.7121281819,657.7194,,C30H92N10O2S
623.6206882044,624.62796,,
651.8152159056,652.82249,,C15H8N8O4S9
702.8536674644,703.86094,,C23H13NO11S7
616.826398717,617.83368,,C12H16N3O6PS9
720.8221584831,721.82943,,C22H15N3O5S10
581.3690274327,582.3763,,C31H47N7O4
259.1069458919,260.11422,,C12H13N5O2
656.8364320533,657.84371,,C10H4N13O8PS6
676.112356094,677.11963,,C18H44N8OS9
602.7039225132,603.7112,,
762.3785181845,763.38579,,C28H74O12S5
598.0439452779,599.05122,,C22H26N6O2S6
691.308570914,692.31585,,
701.7162450867,702.72352,,C31H95N11OS2
667.9727424584,668.98002,,C25H12N6O11S3
706.4633056688,707.47058,,C37H66N6O3S2
790.6953383306,791.70261,,C45H98N4S3
698.172676385,699.17995,,C19H34N6O22
573.7828234124,574.7901,,
673.7651244052,674.7724,,C22H11O3PS10
618.6685258895,619.6758,,C28H82N12O2
610.8117000669,611.81898,,C16H10N3O5PS8
652.4936970441,653.50097,,C29H73N4O7PS
730.7590780355,731.76635,,C16H9N7O5S11
645.3672663127,646.37454,,C17H47N19O6S
725.0432046039,726.05048,,C28H7N17O7S
729.0911283826,730.0984,,C21H43N7O3S9
634.6601829009,635.66746,,C39H82N6
444.26584827,445.27312,,C22H40N2O5S
685.1272840053,686.13456,,C25H38NO13P3S
504.1487713657,505.15605,,C22H32O9S2
592.3341781008,593.34145,,C19H50N10O7P2
591.147699592,592.15498,,C23H26N7O10P
794.9551626244,795.96244,,C21H10N13O16PS2
693.424680446,694.43196,,C27H67N9O3S4
681.5117346466,682.51901,,C23H67N15O6S
614.1069268287,615.1142,,C19H50OS10
775.5093628608,776.51664,,
796.6386463984,797.64592,,C35H96N4O8S3
619.7008737043,620.70815,,C28H85N13O
569.932839387,570.94012,,C24H14N2O3S6
686.7509013765,687.75818,,C14H5N7O6S10
727.7061149575,728.71339,,
631.2187633249,632.22604,,C16H34N13O12P
626.9372915076,627.94457,,C32H7NO8P2S
619.6597721042,620.66705,,C30H85N9OS
571.3560696058,572.36335,,C24H49N11OS2
687.7776908227,688.78497,,C16H8N4O9S9
576.8615259451,577.8688,,C17H4N7O5PS5
599.0355778806,600.04285,,C13H34N3O9PS6
673.6282744019,674.63555,,C31H75N15O
695.1345356226,696.14181,,C25H22N13O10P
653.4776714671,654.48495,,C25H63N15OS2
750.1401787475,751.14746,,C23H46O17P4S
575.8375688566,576.84485,,C17H8N2O7S7
628.8746962756,629.88197,,C11H7N11O9S6
692.7008992012,693.70818,,C34H92N8O3S
610.6073244412,611.6146,,C26H79N10O3P
642.059029273,643.06631,,
867.4536290805,868.46091,,C29H66N13O15P
575.0917629083,576.09904,,C13H26N11O7PS3
653.7033851192,654.71066,,
681.4655726466,682.47285,,C23H65N13O6P2
567.2499717712,568.25725,,C23H46N5O3PS3
585.4754731401,586.48275,,C29H67N3O6S
493.1440619978,494.15134,Glyburide,C23H28ClN3O5S
585.5887738295,586.59605,,C37H79NOS
591.2999257062,592.3072,,C21H50N7O6PS2
642.145892793,643.15317,,C17H41O19P3
749.2957022871,750.30298,,C21H57N3O21P2
666.7861898602,667.79347,,C13H6N3O15PS6
630.878312185,631.88559,,C24H5N7O3S6
711.582106978,712.58938,,C36H82N5O4PS
705.898416721,706.90569,,C27H18N2O5S8
758.2152520489,759.22253,,C32H46N4O9S4
590.7428437453,591.75012,,
688.4345324993,689.44181,,C35H66N2O7P2
683.8505574635,684.85783,,C14H24N2O7S11
627.4551447858,628.46242,,
574.9570150135,575.96429,,C16H14N7O7PS4
618.570991699,619.57827,,C32H74N8OS
716.4241385025,717.43141,,C34H65N6O4PS2
683.2396386051,684.24692,,C40H29N9O3
494.3236642898,495.33094,,C20H50N2O9S
628.3962330392,629.40351,,C31H57N4O7P
699.2088109453,700.21609,,
726.7982831682,727.80556,,C37H106N8S2
810.9816542697,811.98893,,C17H22N11O17PS4
647.0465340316,648.05381,,C16H42NO7PS8
716.8531016806,717.86038,,C14H8N9O14PS5
628.8270103582,629.83429,,C21H12NO4PS8
684.4241295171,685.43141,,C41H64O4S2
664.6645792308,665.67186,,C31H80N14O
616.8567097184,617.86399,,C17H7N5O9S6
704.3149115938,705.32219,,C24H46N14O7P2
747.8218139713,748.82909,,C24H8N6O7S8
618.4396224576,619.4469,,C23H68N6O6P2S
606.7617560627,607.76903,,
810.3216142712,811.32889,,C31H59N2O18PS
579.3954142334,580.40269,,C20H50N15O3P
501.2218933146,502.22917,,C24H39NO6S2
740.0187887137,741.02607,,C23H28N6O10S6
801.1608388227,802.16812,,C31H27N15O8S2
646.8249205382,647.8322,,C17H9N7O3S9
706.4089045292,707.41618,,C20H54N18O8S
796.0463497577,797.05363,,C20H44N8O3S11
738.4970156082,739.50429,,C24H74N12O7S3
708.0390937599,709.04637,,
582.862946728,583.87022,,C13H14NO11PS6
740.1584770019,741.16575,,C21H39N6O17P3
745.7355371005,746.74281,,C39H99N7OS2
749.8085674651,750.81584,,C17H14N6O8S10
600.811644059,601.81892,,C14H11N5O2S10
723.835999736,724.84328,,C14H17N2O16PS7
593.1547541957,594.16203,,C15H33N9O10P2S
725.5394339036,726.54671,,C34H71N13S2
781.5422919229,782.54957,,C37H85NO9P2S
705.5310952427,706.53837,PC_12:0_18:0_,C38H76NO8P
693.1372169471,694.14449,,C17H34N11O11P3S
446.143475981,447.15075,,C13H38N2O4S5
674.4448852804,675.45216,,C38H66N4S3
681.2855485735,682.29283,,C17H44N15O10PS
607.4204657732,608.42774,PE-NMe2_10:0_14:0_,C31H62NO8P
586.844824305,587.8521,,C10H6N9O7PS6
639.699924391,640.7072,,C41H89N3O
583.1982144304,584.20549,,
607.0079002473,608.01518,,C14H9N17O6S3
614.0139755959,615.02125,,C35H10N4O4S2
440.3137543296,441.32103,,C25H44O6
531.2323573362,532.23963,,C17H37N7O10S
396.128364784,397.13564,,C11H17N12O3P
588.9634471043,589.97072,,
728.8101236296,729.8174,,C14H16N7O6PS10
585.9895093069,586.99679,,C15H15N4O17PS
421.0735429106,422.08082,,C14H23N5O2S4
742.5049655132,743.51224,,C22H68N18O6P2
585.7074354267,586.71471,,
593.8458810449,594.85316,,C29H6OS7
616.5748870706,617.58216,,C30H77N6O4P
584.6053272685,585.6126,,
671.8971238378,672.9044,,C14H21N6O7PS8
646.6931931846,647.70047,,
212.0904898815,213.09777,,C8H20O2S2
711.689248745,712.69653,,C48H89NO2
507.3098672148,508.31714,,C23H49N5OS3
568.6875604853,569.69484,,
642.2254606809,643.23274,,C23H50O12P4
701.5849657288,702.59224,,C30H75N11O7
551.8458350604,552.85311,,C18H16S10
569.3613192109,570.3686,,C36H47N3O3
575.7875854065,576.79486,,C13H8N2O6S9
576.9696912133,577.97697,,C17H23NO9S6
885.8387212599,886.846,,C45H11O5PS7
698.9174000337,699.92468,,C25H6N11O5PS4
660.3169980893,661.32427,,C30H56N6S5
282.9627664657,283.97004,,C8H2N3O7P
699.567746921,700.57502,,C42H69N9
531.4247980112,532.43207,,C28H57N3O6
358.0454248874,359.0527,,C14H15O9P
602.8763244469,603.8836,,C11H18N5O6PS8
757.3461336609,758.35341,,C28H63N5O10S4
579.1846430816,580.19192,,C24H34N7O4PS2
577.7853915286,578.79267,,C21H6O2S9
612.9401322053,613.94741,,C15H16N7O8PS5
577.1417457391,578.14902,,C24H31N7O2S4
591.1395133506,592.14679,,C13H26N11O14P
277.9668207794,278.9741,,C7H6N2O6S2
641.3293002505,642.33658,,C20H52N9O10PS
778.6829622898,779.69024,,C36H90N8O9
642.1278318682,643.13511,,C16H38N2O18S3
598.3962624755,599.40354,,C29H63N2O4PS2
611.053550452,612.06083,,C25H21N7O4S4
658.4060654042,659.41334,,C27H54N12O5S
577.9553429348,578.96262,,C15H19N2O12PS4
738.6576160217,739.66489,,C32H90N12S3
826.3465188544,827.3538,,C36H58O21
771.435713636,772.44299,,C25H69N15O2S5
736.2181470998,737.22542,,C24H37N10O15P
582.9716440462,583.97892,,C12H25N9S9
603.3767263362,604.384,,C21H54N11O5PS
587.3672627056,588.37454,,
740.6214569526,741.62873,,
617.7923804459,618.79966,,C11H11N2O10PS8
698.8037684354,699.81104,,C36H98N12
644.4125401434,645.41982,,C39H56N4O2S
706.6844660537,707.69174,,C39H98N2OS3
792.4270155606,793.43429,,C31H68N8O9S3
721.7017779004,722.70905,,C14H11O10PS11
682.9937262095,684.001,,C35H7N7O6P2
729.0448957334,730.05217,,C36H11N9O8S
694.9151643645,695.92244,,C23H25N3O2S10
824.3117934214,825.31907,,C46H40N12O2S
723.3478399979,724.35512,,C37H57NO9S2
741.7711173928,742.77839,,C14H7N12O3PS10
700.6856766161,701.69295,,C44H93O3P
700.0704007593,701.07768,,C17H12N22O7S2
537.5546339921,538.56191,,
710.3839212192,711.3912,,C35H59N4O7PS
604.5909424991,605.59822,,C32H76N8S
551.958063961,552.96534,,C17H28O2S9
717.8842945365,718.89157,,C14H19N6O12PS7
454.101483837,455.10876,,C15H26N4O6S3
613.8464570768,614.85373,,C19H18O3S10
774.8518118264,775.85909,,C34H17NOS10
708.6765189294,709.6838,,C35H93N6O3PS
620.595667078,621.60294,,
834.2303921861,835.23767,,C32H46N14OS6
609.609139327,610.61642,,
593.6441863661,594.65146,,
500.1490867388,501.15636,,C20H37O6PS3
307.0791803978,308.08646,,C10H5N13
741.9832432291,742.99052,,
575.4355665218,576.44284,,C28H66NO6PS
595.5169078092,596.52418,,C30H70N5O4P
407.8032546461,408.81053,,
684.6669494378,685.67423,,C33H92N6O3S2
446.165087472,447.17236,,C12H23N12O5P
716.3597181896,717.36699,,C22H48N22S3
751.8195821222,752.82686,,C40H101N11O
432.1495010017,433.15678,,C11H21N12O5P
732.2073917068,733.21467,,C33H44N6O3S5
587.4780040382,588.48528,,C34H61N5O3
742.963387954,743.97066,,C16H34N5O8PS9
753.1450481618,754.15232,,C25H24N17O8PS
574.7426458858,575.74992,,
738.3344896704,739.34177,,C30H43N16O5P
739.6695800191,740.67686,,C30H85N13O7
692.5691998893,693.57648,,C35H77N6O5P
585.7607958267,586.76807,,C16H10O2S11
586.6479625436,587.65524,,C36H82N4O
619.4718879335,620.47916,,
754.5710986133,755.57838,,C35H86N4O6S3
734.5424256928,735.5497,,C23H66N20O7
778.2229736438,779.23025,,C33H35N10O11P
250.9657976092,251.97307,,
596.0778033828,597.08508,,C19H13N14O8P
621.3422701114,622.34955,,C36H43N7O3
709.7972235087,710.8045,,C18H14O12S9
606.43603521,607.44331,,
733.5617488361,734.56903,PC_12:0_20:0_,C40H80NO8P
749.9620224379,750.9693,,
727.077613843,728.08489,,C26H30N7O8PS4
783.349381694,784.35666,,C40H54N3O11P
581.2927610839,582.30004,,C25H51N5O2S4
728.7657391023,729.77302,,C21H7N5O5S10
777.2614661104,778.26874,,C36H49N3O10P2S
881.0933212724,882.1006,,
589.4548768396,590.46215,,C26H64N5O7P
290.0768695666,291.08415,,C8H19O9P
589.6062306287,590.61351,,
768.9159232425,769.9232,,C18H35N5O2S13
543.8535058928,544.86078,,C17H4O13S4
698.6266496212,699.63393,,C29H78N16OS
698.895284846,699.90256,,C35H10NO4PS5
559.4913327392,560.49861,,C25H66N7O4P
595.0487420324,596.05602,,C34H9N7O3S
562.9656072548,563.97288,,C23H17NO6S5
620.7952923989,621.80257,,C19H11NO3S10
568.9980747104,570.00535,,C21H12N7O7PS2
843.9011279638,844.9084,,C28H24N6O5S10
603.8171593439,604.82444,,C16H13O7PS8
798.07804953,799.08533,,C31H22N14O5S4
767.4027791002,768.41006,,C36H49N17OS
578.2116690545,579.21895,,C20H34N8O10S
243.9661549045,244.97343,,C5H4N6S3
592.0712264877,593.0785,,C21H21N8O7PS2
249.9641547873,250.97143,,
560.7564712571,561.76375,,
779.4132210773,780.4205,,C31H77N3O6S6
569.4795130944,570.48679,,C23H68N7O4PS
756.4432109362,757.45049,,C48H60N4O2S
575.0150614136,576.02234,,C14H22N7O8PS4
589.1346086863,590.14189,,C16H35N11OS6
677.027503583,678.03478,,C13H39N7O4S10
594.3796687888,595.38695,,C24H59N4O8PS
726.4752471159,727.48252,,C33H70N6O7S2
564.7690401126,565.77632,,C11H3NO12S7
326.2457281046,327.253,1-Acetoxy-2-hydroxy-16-heptadecen-4-one,C19H34O4
605.4438270692,606.4511,,
565.8248681168,566.83214,,C18H14OS10
781.2366008244,782.24388,,C25H47N15O2S6
766.1512719516,767.15855,,C24H23N20O7PS
571.7904206672,572.7977,,C13H4N2O10S7
432.0549313204,433.06221,,C17H20O9S2
617.6174471497,618.62472,,
701.0077225353,702.015,,C35H11NO16
607.0487486716,608.05603,,C28H17N9S4
800.6971715633,801.70445,,C20H8N3O8PS11
448.0497940579,449.05707,,C15H8N14S2
619.3931047964,620.40038,,C26H54N9O6P
575.5163153278,576.52359,,C31H77NOS3
567.4689550331,568.47623,,C27H65N7OS2
613.3828510761,614.39013,,C25H55N7O8S
582.2088126999,583.21609,,C15H34N8O16
406.0392111828,407.04649,,C15H18O9S2
736.6904379043,737.69771,DG_14:0_30:0_0:0_,C47H92O5
736.9358932283,737.94317,,C21H9N9O16P2S
720.0804250203,721.0877,,C28H28N6O9S4
586.3366959906,587.34397,,C24H62N2O3S5
771.1810776648,772.18835,,C26H61NO4S10
552.4577149742,553.46499,,C27H72N2S4
824.9758474376,825.98312,,C24H19N13O9S6
621.5179568867,622.52523,,C34H71NO8
582.5394649619,583.54674,,C23H71N10O4P
793.1349949444,794.14227,,C32H15N19O8
527.3809774832,528.38825,,C23H54N5O6P
584.2642501114,585.27153,Bilirubin,C33H36N4O6
585.6402656844,586.64754,,C34H79N7
557.1458059628,558.15308,,C28H24N5O6P
582.055021639,583.0623,,C24H11N10O7P
747.0956175766,748.10289,,C21H14N23O6PS
807.5971034909,808.60438,,C40H86N7O3PS2
808.2120704352,809.21935,,C29H39N12O10P3
744.4683852702,745.47566,,C49H64N2O2S
763.3896047411,764.39688,,C31H57N9O11S
585.4807713878,586.48805,,C25H72N5O3PS2
785.53537,786.54265,,C38H80N3O9PS
750.9489600324,751.95624,,C33H11N3O13P2S
569.5355125343,570.54279,,C31H75N3OS2
402.1655869057,403.17286,,C15H31O10P
773.0827555615,774.09003,,C37H15N11O8S
760.8306313591,761.83791,,
764.3663789073,765.37366,,C22H68N8O10S5
550.5913677734,551.59864,,C27H78N6O2S
793.3117732829,794.31905,,C18H47N15O20
775.4853313557,776.49261,,C31H71N9O9P2
859.5968504122,860.60413,,C39H97N5O2S6
492.777030607,493.78431,,C9H4NO7PS7
556.0722241994,557.0795,,C24H20N4O8S2
830.8939650879,831.90124,,C17H26N3O19PS7
331.5536439893,332.56092,,
727.3074793967,728.31476,,C24H60NO17P3
557.2574841898,558.26476,,C19H40N7O10P
571.4296967262,572.43697,,C23H58N9O5P
576.1623111723,577.16959,"8-_3,7-dihydroxy-2-_4-hydroxy-3-methoxyphenyl_-3,4-dihydro-2H-1-benzopyran-4-yl_-2-_3,4-dihydroxyphenyl_-3,4-dihydro-2H-1-benzopyran-3,5,7-triol",C31H28O11
578.6298564598,579.63713,,C31H78N8O
898.3879569877,899.39523,,C26H66N12O16S3
569.4659970425,570.47327,,
567.5928540971,568.60013,,C33H73N7
594.6745006523,595.68178,,
582.2617466499,583.26902,,C23H39N10O4PS
570.9349259838,571.9422,,C18H5NO21
575.6757420392,576.68302,,
582.1854431695,583.19272,,C22H30N8O9S
772.1421478931,773.14942,,C37H33N4O9PS2
650.694162344,651.70144,,C44H90O2
570.1255366255,571.13281,,C20H30N10S5
587.5825554602,588.58983,,C32H73N7O2
785.5730792621,786.58036,,C32H76N13O7P
561.5397087446,562.54699,,
793.1426907306,794.14997,,C42H31N7O2S4
757.2539963578,758.26127,,C27H48N7O12PS2
565.2392839073,566.24656,,C19H47N7O2S5
236.877397932,237.88467,,
877.5293980359,878.53667,,C59H67N5O2
793.3416006914,794.34888,,C21H60N15O7PS4
749.2915775793,750.29885,,C25H40N19O5PS
586.1606144194,587.16789,,C22H31N6O9PS
582.750927481,583.7582,,
819.4920736266,820.49935,,C34H76N7O9P3
796.1262273836,797.1335,,C38H40N2O5S6
777.8906101452,778.89789,,C15H6N16O13S5
877.0382182445,878.04549,,C31H35N5O11S7
542.362123913,543.3694,,C19H58N8OS4
562.604782427,563.61206,,C39H78O
450.0654650532,451.07274,,C15H10N14S2
746.6632686978,747.67055,,C31H91N10O5PS
779.241290142,780.24857,,C36H33N11O10
583.4326072104,584.43988,,C24H53N15S
829.9099971604,830.91727,,C30H19N6O7PS7
564.4967559735,565.50403,,C25H68N6O5S
557.5039663535,558.51124,,C34H63N5O
755.5218326764,756.52911,,C31H85N3O8S4
751.0800117378,752.08729,,C29H10N19O6P
569.7951543692,570.80243,,C11H7O13PS6
749.0407658776,750.04804,,C31H32N3O5PS6
561.2076222299,562.2149,,C15H40N5O13PS
800.0344873799,801.04176,,C39H12N8O11S
559.1680285871,560.17531,,C24H21N11O6
744.0831127315,745.09039,NADP,C21H29N7O17P3
739.7138972099,740.72117,,C41H89N9O2
758.2996205795,759.3069,,C34H66N2S8
578.9364155109,579.94369,,
601.1142132335,602.12149,,C27H15N13O3S
567.482406902,568.48968,,C29H65N3O7
791.7605743156,792.76785,,C34H89N21
556.5613175534,557.56859,,C28H72N6O4
558.097140044,559.10442,,C15H42O7S7
585.2418353451,586.24911,,C22H44N5O7PS2
915.4305566452,916.43783,,C32H58N19O11P
695.0758003234,696.08308,,C26H26N5O12PS2
570.9520231405,571.9593,,C16H9N7O11S3
834.2163621382,835.22364,Epifisetinidol-_4beta-_8_-epicatechin-_6-_4beta_-epifisetinidol,C45H38O16
603.2554084261,604.26268,,C22H41N11O3S3
693.049557406,694.05683,,C39H23N3S5
986.6853865669,987.69266,,C39H98N14O8S3
573.0360206966,574.0433,,C23H20N5O5PS3
576.7243329091,577.73161,,
584.6020880803,585.60936,,
768.8270602864,769.83434,,
550.9023880745,551.90966,,C16H9N9S7
767.8749199791,768.8822,,C27H12N8O4S8
792.3058874142,793.31316,,C31H53N8O10PS2
347.0378134483,348.04509,,C8H10N7O7P
558.0428632467,559.05014,,C17H12N12O7P2
729.773362686,730.78064,,C14H10N4O13S9
882.968751682,883.97603,,C37H30N3O5PS8
541.5334888615,542.54077,,C36H67N3
806.5126076491,807.51988,,C37H66N12O8
985.3207480406,986.32802,,C51H57NO15P2
563.8994450058,564.90672,,C19H16O6S7
569.8993647323,570.90664,,
495.3245709792,496.33185,,C18H53N7S4
480.1720703801,481.17935,,C11H32N10O5S3
768.6809104999,769.68819,,C35H92N8O7S
246.121610768,247.12889,L-beta-aspartyl-L-leucine,C10H18N2O5
817.4496245014,818.4569,,C36H71N11S5
734.1328080142,735.14008,,C20H43N6O11PS5
537.7412458489,538.74852,,
767.4258137554,768.43309,,C31H58N15O4PS
790.065682181,791.07296,,C44H11N10O5P
576.5629742897,577.57025,,C27H76N8S2
757.1004751842,758.10775,,C19H39N3O20S4
751.6041999869,752.61148,,C30H87N7O9P2
711.4775881142,712.48486,,
851.4966674904,852.50394,,C37H81N5O8S4
544.597626,545.6049,,C28H76N6O3
563.5967113292,564.60399,,C26H77N9OS
550.4275459041,551.43482,,C31H66OS3
693.4715982103,694.47887,,C20H60N19O6P
543.8652895108,544.87257,,C9H12N4O9S7
568.3369569255,569.34423,,C30H44N6O5
308.1298991184,309.13718,,
863.2813054429,864.28858,,C31H66N3O10PS6
362.0115587421,363.01884,,C10H6N10O2S2
598.7731493059,599.78043,,C15H5NO9S8
774.4867620122,775.49404,,C29H62N18O5S
589.491254212,590.49853,,C27H68N5O6P
771.2544225772,772.2617,,C35H45N7O7S3
821.4101033562,822.41738,,C39H64N7O6PS2
743.4413052682,744.44858,,
911.5110023555,912.51828,,C36H79N7O15P2
548.0872665792,549.09454,,C15H22N10O7P2S
539.1381958278,540.14547,,C16H36N3O9P3S
566.7738394766,567.78112,,
853.688080837,854.69536,,C48H95N5O3S2
562.128834549,563.13611,,C15H46O7S7
721.3432356789,722.35051,,C21H59N11O8S4
238.0606300294,239.06791,,C8H15O6P
805.800977679,806.80825,,C33H11O7PS8
732.7277626222,733.73504,,
862.6695496423,863.67683,PG_12:0_30:0_,C48H95O10P
553.8220071189,554.82928,,C9H7N4O10PS6
545.3228333671,546.33011,,
769.0388355183,770.04611,,C30H31N3O9S6
870.037018614,871.0443,,C46H22N4O7S4
917.6809913151,918.68827,Galabiosylceramide _d18:1_20:0_,C50H95NO13
896.6104843665,897.61776,,C56H84N2O5S
566.9454768749,567.95275,,C19H12N3O10P3S
570.9783590036,571.98564,,C23H10NO15P
585.7453144446,586.75259,,
744.6997968918,745.70707,,C42H92N6O2S
821.6686066317,822.67588,,C41H83N13O4
544.3498117389,545.35709,,C25H57N2O4PS2
820.8643803599,821.87166,,C25H16N3O15PS6
549.052407635,550.05968,,C20H24NO11PS2
803.2614563439,804.26873,,C18H51N11O18P2S
396.1371752739,397.14445,,C16H29O7PS
281.9868392083,282.99412,,C8H10O7S2
563.2564373725,564.26371,,C29H43NO6P2
762.6081192443,763.6154,,C41H94O3S4
794.4511053745,795.45838,,C41H70N4O5S3
808.4206550658,809.42793,,C39H71O11P3
795.3789790416,796.38626,,C29H61N15OS5
585.6272612975,586.63454,,
374.0130040355,375.02028,,C14H14O8S2
893.9483583228,894.95563,,C28H18N2O28S2
569.2401267727,570.2474,,C28H44NO5PS2
557.2795376197,558.28681,,C25H52NO4PS3
562.6412576486,563.64853,,C40H82
801.0431746275,802.05045,,C24H23N19S7
915.1706445165,916.17792,,C44H17N23OS
559.7248605496,560.73214,,
544.7977783435,545.80505,,C12H3NO12S6
899.1394109352,900.14669,,C28H58N3O9PS9
231.6203232257,232.6276,,
578.6379057995,579.64518,,
805.4884632796,806.49574,,
398.1755928703,399.18287,,C12H34N2O8S2
773.3926252732,774.3999,,C20H60N19O5PS3
835.0588079933,836.06608,,C34H34N3O10PS5
861.3568214234,862.3641,,
486.3125265644,487.3198,,C17H42N8O8
513.2125529402,514.21983,,C20H35N9OS3
233.1375584772,234.14483,Lysyl-Serine,C9H19N3O4
563.5045539264,564.51183,,C20H57N19
290.944001845,291.95128,,C7H5N3O4S3
906.2664832296,907.27376,Hopeaphenol,C56H42O12
583.3418825017,584.34916,,C21H41N15O5
776.9272669913,777.93454,,C20H6N13O16P3
483.2114309458,484.21871,,C24H37NO5S2
571.759573864,572.76685,,C18H4O4S9
550.2301203621,551.2374,,C16H39N8O9PS
573.1424609692,574.14974,,C19H19N13O9
804.1093006308,805.11658,,C47H12N14S
728.3847740357,729.39205,,
818.0219382505,819.02921,,C47H14N8S4
308.0915623804,309.09884,,C9H12N10OS
556.0140623857,557.02134,,C26H20O6S4
846.2147721524,847.22205,,
564.5461522513,565.55343,,
298.2660632989,299.27334,,C22H34
731.1127273996,732.12,,C14H32N13O14P3S
554.5113966336,555.51867,,
822.9526263087,823.9599,,C23H33N7O4S11
566.2106701938,567.21795,,C29H43O3PS3
788.5402647928,789.54754,,C36H73N10O7P
269.2719179274,270.27919,Capsiamide,C17H35NO
847.9696095992,848.97689,,C44H20N2O5S6
769.8246463066,770.83192,,C15H11N6O17PS6
758.3087150512,759.31599,,C26H55N12O4PS4
760.7604616482,761.76774,,C50H100N2S
574.8367517812,575.84403,,C18H5N7S8
896.5982921153,897.60557,,C29H89N18O3PS4
845.3659944163,846.37327,,C31H72N7O5PS6
543.4609364024,544.46821,,C23H69N5O2S3
342.289259773,343.29654,,
814.1503481339,815.15762,,C28H55N4O3PS9
765.3904579127,766.39773,,C48H47N9O
839.3824631586,840.38974,,C26H73N13OS8
258.041678859,259.04896,,
560.7018891548,561.70917,,
555.9124552514,556.91973,,C16H6N4O13P2S
201.9791043208,202.98638,,C4H10O3S3
834.9992258752,836.0065,,C22H5N21O15S
831.6037485019,832.61102,,C35H82N11O9P
243.1583476089,244.16562,Lysyl-Proline,C11H21N3O3
212.9949604459,214.00224,,
567.4167007326,568.42398,,C31H58N3O4P
561.7145970615,562.72187,,
893.1741522048,894.18143,,C22H47N13O13S6
493.3225194981,494.3298,,C20H51N3O6S2
535.7438656236,536.75114,,
867.5330999227,868.54038,,C28H81N15O7S4
795.6832657112,796.69054,,C15H9O16PS10
773.8989253725,774.9062,,C23H11N12O6PS6
538.1689792481,539.17626,,C26H34O8S2
