,m/z,Name,Formula
708.1839065983,709.1913,,C31H36N2O15S
649.4809064177,650.48806,,C31H73NO8P2
705.4412792912,706.44878,,
580.3771821417,603.36634,,C37H48N4O2
734.5278044689,735.53501,,C26H76N10O9P2
582.5050861741,583.51238,,C29H78N2S4
754.61659126,755.62374,,C36H91N4O5PS2
565.8489116443,566.85621,,C11H10N4O9S7
792.0640265467,793.07126,,C20H26N8O22P2
595.7586196925,596.76611,,C14H5N4O3PS9
631.8157401598,670.77871,,C19H4O15S5
758.2781367105,759.28551,,C24H53N6O15P3
638.1072934555,661.09632,,C20H22N12O9S2
661.845509105,700.80863,,C22H6N4O9S6
627.4036307316,666.36701,,C23H63N7O6P2S
749.8902481243,750.89777,,C23H6N6O18S3
563.5661652221,586.55539,,
624.8954188848,663.85856,,C23H7N5O7S5
564.3927890911,565.39991,,C28H68S5
454.2414089165,493.20451,Methyl cellulose,C20H38O11
750.363213666,751.37056,,C26H75N2O7PS6
572.3744377437,573.38172,,C18H49N14O5P
699.4199691337,738.38314,,C37H65NO7S2
636.8049106402,659.79414,,C23H11NOS10
546.1033626048,547.11089,,C12H26N12O5S4
675.8839752828,698.8733,,C13H4N14O10S5
590.3761351067,613.3654,,C18H50N14O6S
400.2097030681,439.17288,Cincassiol B,C20H32O8
601.27918197,624.26837,,C27H39N9O5S
556.2645354618,557.27171,,C24H45O12P
656.7289591008,695.69233,,C11H4N3O12PS8
807.0837065448,808.09106,,C32H17N13O12S
700.206537904,723.19557,,C35H29N10O5P
583.5685172711,584.5756,,C32H77N3O3S
570.734676037,571.74218,,
721.6423753885,744.63139,,C31H79N17S
677.632027963,700.621,,C43H83NO4
811.2937509111,812.30093,,
749.4451717195,788.40855,,C44H59N7O2S
566.453270195,589.44236,,C31H54N10
720.9452492471,759.90817,,C19H7N13O13S3
863.8741791758,886.86346,,C34H8N8O9S6
586.030078143,624.99338,,C21H21N2O12P3
574.4764193811,613.43958,,C23H63N10O4P
587.0720619953,610.06117,,C12H26N7O14PS2
536.7774932019,575.7407,,C9H4N3O8PS7
732.7051114233,733.71243,,C18H7NO9S11
583.9930868626,606.98252,,C22H16O15S2
508.2996605426,509.3069,,C18H49N6O4PS2
568.5145434605,607.47791,,C22H68N10O4S
840.039830309,841.04708,,C39H16N6O15S
794.7586948374,833.72197,,C33H94N16O5
575.3094519271,598.29884,,C26H50N5O3PS2
564.7300326272,603.6931,,
579.4152271355,618.37814,,
571.0164882514,594.00556,,C10H22N9O9PS4
602.5338647854,625.52326,,C25H74N6O7S
553.877683731,576.86704,,C9H10N6O10S6
564.8814743918,587.87061,,C23H7N3O3S6
591.5916791535,630.55475,,C27H77N9O2S
566.7117017378,605.67498,,
843.6715672872,844.67876,PC_16:0_24:1_15Z_,C48H94NO8P
566.4907900926,605.45372,DG_10:0_22:1_11Z_0:0_,C35H66O5
638.3746025629,661.36364,,C20H60N6O12P2
574.8560481132,597.84549,,C13H9N3O11S6
547.9299059457,586.89308,,
739.1225057669,762.11164,,C26H13N25S2
549.7962176946,588.75946,,C13H10O6S9
631.8538780826,654.84297,,C22H16O4S9
573.3699814952,612.33309,,C17H48N15O5P
799.6990669718,822.68849,,C22H8O11S11
715.3885983028,738.37799,,C21H58N13O10PS
666.9509107598,689.94032,,C17H33NO6S10
721.1688015301,744.15824,,C28H28N13O7PS
548.1820332055,571.17129,,C28H29N4O6P
546.5455331818,585.50854,,C31H70N4O3
663.6711675701,686.66062,,C36H85N7O3
785.2711382981,824.23417,,C32H54NO15P3
719.3370766015,758.30036,,C29H62N5O5PS4
571.7465888743,594.7358,,
562.3626772437,563.36995,PA_12:0_14:1_9Z_,C29H55O8P
633.7129619731,656.70201,,
529.8688026946,568.83174,,C25H6O2S6
556.5725193273,579.56153,,C27H72N8O3
604.4544015464,627.44369,,C28H69N4O3PS2
550.2382979434,573.2275,,C32H38O6S
580.2741528961,603.26315,,C21H41N8O9P
547.6865102657,570.67581,,
725.5174978572,748.50655,,C44H67N7S
715.0420747333,738.03135,,C25H30N7O4PS6
758.2379028901,781.22732,,C23H46N14O5S5
659.4573977265,660.46446,PE-NMe2_14:1_9Z_14:1_11Z_,C35H66NO8P
663.1122771053,664.11955,,C27H21N9O10S
619.4210444106,620.42808,PC_10:0_14:1_9Z_,C32H62NO8P
202.1205334871,225.10972,dipropyl succinate,C10H18O4
747.9724088298,770.96172,,C29H13N6O13PS2
